repo_name,week,commit_sha,dependency,version,concreteVersion,dependency_type
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,@nowarp/misti,~0.5.0,0.5.0,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,@tact-lang/compiler,~1.5.3,1.5.3,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,@tact-lang/deployer,^0.2.0,0.2.0,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,@tact-lang/ton-abi,^0.0.3,0.0.3,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,@tact-lang/ton-jest,^0.0.4,0.0.4,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,@ton/core,~0.56.3,0.56.3,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,@ton/crypto,^3.2.0,3.3.0,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,@ton/sandbox,^0.20.0,0.20.0,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,@ton/test-utils,^0.4.2,0.4.2,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,@ton/ton,^13.9.0,13.11.2,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,@types/jest,^29.2.4,29.5.14,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,@types/node,^18.11.14,18.19.68,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,@types/qs,^6.9.7,6.9.17,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,base64url,^3.0.1,3.0.1,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,enquirer,^2.3.6,2.4.1,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,jest,^29.3.1,29.7.0,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,open,^8.4.0,8.4.2,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,prando,^6.0.1,6.0.1,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,prettier,^2.5.1,2.8.8,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,qs,^6.11.0,6.13.1,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,ts-jest,^29.0.3,29.2.5,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,ts-node,^10.9.1,10.9.2,normal
tact-lang/tact-template,2024-W51,43bc4e48c7b0033264370fc455958b06ec1afdc5,typescript,^4.9.4,4.9.5,normal
tact-lang/tact-template,2025-W02,7527edffd9a13984eac06a76f6d5fc9eee6719f3,@nowarp/misti,~0.5.0,0.5.0,normal
tact-lang/tact-template,2025-W02,7527edffd9a13984eac06a76f6d5fc9eee6719f3,@tact-lang/compiler,~1.5.3,1.5.3,normal
tact-lang/tact-template,2025-W02,7527edffd9a13984eac06a76f6d5fc9eee6719f3,@tact-lang/deployer,^0.2.0,0.2.0,normal
tact-lang/tact-template,2025-W02,7527edffd9a13984eac06a76f6d5fc9eee6719f3,@tact-lang/ton-abi,^0.0.3,0.0.3,normal
tact-lang/tact-template,2025-W02,7527edffd9a13984eac06a76f6d5fc9eee6719f3,@tact-lang/ton-jest,^0.0.4,0.0.4,normal
