repo_name,week,commits,lines_added,contributors
davidgasquez/dotfiles,2021-W11,2,0,1
davidgasquez/dotfiles,2021-W09,1,0,1
davidgasquez/dotfiles,2021-W08,2,0,1
davidgasquez/dotfiles,2021-W07,2,0,1
davidgasquez/dotfiles,2021-W06,1,0,1
davidgasquez/dotfiles,2021-W04,1,0,1
davidgasquez/dotfiles,2020-W50,5,0,1
davidgasquez/dotfiles,2020-W49,3,0,1
davidgasquez/dotfiles,2020-W48,2,0,1
davidgasquez/dotfiles,2020-W47,17,0,1
davidgasquez/dotfiles,2020-W41,3,0,1
davidgasquez/dotfiles,2020-W38,4,0,1
davidgasquez/dotfiles,2020-W33,7,0,1
davidgasquez/dotfiles,2020-W30,2,0,1
davidgasquez/dotfiles,2020-W29,4,0,1
davidgasquez/dotfiles,2020-W27,9,0,1
davidgasquez/dotfiles,2020-W23,1,0,1
davidgasquez/dotfiles,2020-W11,1,0,1
davidgasquez/dotfiles,2020-W10,1,0,1
davidgasquez/dotfiles,2020-W09,10,0,1
davidgasquez/dotfiles,2019-W50,2,0,1
davidgasquez/dotfiles,2019-W47,1,0,1
davidgasquez/dotfiles,2019-W46,1,0,1
davidgasquez/dotfiles,2019-W45,8,0,1
davidgasquez/dotfiles,2019-W41,2,0,1
davidgasquez/dotfiles,2019-W33,3,0,1
davidgasquez/dotfiles,2019-W32,6,0,1
davidgasquez/dotfiles,2019-W31,3,0,1
davidgasquez/dotfiles,2019-W29,1,0,1
davidgasquez/dotfiles,2019-W28,1,0,1
davidgasquez/dotfiles,2019-W24,2,0,1
davidgasquez/dotfiles,2019-W22,3,0,1
davidgasquez/dotfiles,2019-W16,1,0,1
davidgasquez/dotfiles,2019-W12,3,0,1
davidgasquez/dotfiles,2019-W11,2,0,1
davidgasquez/dotfiles,2019-W10,1,0,1
davidgasquez/dotfiles,2019-W04,4,0,1
davidgasquez/dotfiles,2019-W02,5,0,1
davidgasquez/dotfiles,2019-W00,4,0,1
davidgasquez/dotfiles,2018-W51,3,0,1
davidgasquez/dotfiles,2018-W49,1,0,1
davidgasquez/dotfiles,2018-W46,1,0,1
davidgasquez/dotfiles,2018-W45,4,0,1
davidgasquez/dotfiles,2018-W44,1,0,1
davidgasquez/dotfiles,2018-W41,2,0,1
davidgasquez/dotfiles,2018-W40,6,0,1
davidgasquez/dotfiles,2018-W35,1,0,1
davidgasquez/dotfiles,2018-W32,4,0,1
davidgasquez/dotfiles,2018-W31,1,0,1
davidgasquez/dotfiles,2018-W28,1,0,1
davidgasquez/dotfiles,2018-W22,1,0,1
davidgasquez/dotfiles,2018-W21,1,0,1
davidgasquez/dotfiles,2018-W19,1,0,1
davidgasquez/dotfiles,2018-W18,1,0,1
davidgasquez/dotfiles,2018-W11,3,0,1
davidgasquez/dotfiles,2018-W10,1,0,1
davidgasquez/dotfiles,2018-W08,1,0,1
davidgasquez/dotfiles,2018-W04,6,0,1
davidgasquez/dotfiles,2018-W02,1,0,1
davidgasquez/dotfiles,2018-W01,3,0,1
davidgasquez/dotfiles,2017-W52,1,0,1
davidgasquez/dotfiles,2017-W46,5,0,1
davidgasquez/dotfiles,2017-W45,6,0,1
davidgasquez/dotfiles,2017-W44,1,0,1
davidgasquez/dotfiles,2017-W38,1,0,1
davidgasquez/dotfiles,2017-W37,2,0,1
davidgasquez/dotfiles,2017-W36,1,0,1
davidgasquez/dotfiles,2017-W35,1,0,1
davidgasquez/dotfiles,2017-W22,3,0,1
davidgasquez/dotfiles,2017-W20,2,0,1
davidgasquez/dotfiles,2017-W18,1,0,1
davidgasquez/dotfiles,2017-W17,2,0,1
davidgasquez/dotfiles,2017-W14,5,0,1
davidgasquez/dotfiles,2017-W12,28,0,1
davidgasquez/dotfiles,2017-W11,8,0,1
davidgasquez/dotfiles,2017-W08,6,0,1
davidgasquez/dotfiles,2017-W07,9,0,1
davidgasquez/dotfiles,2017-W06,7,0,1
davidgasquez/dotfiles,2017-W05,2,0,1
davidgasquez/dotfiles,2017-W04,6,0,1
davidgasquez/dotfiles,2017-W02,8,0,1
davidgasquez/dotfiles,2016-W52,3,0,1
davidgasquez/dotfiles,2016-W51,9,0,1
davidgasquez/dotfiles,2016-W48,7,0,1
davidgasquez/dotfiles,2016-W47,3,0,1
davidgasquez/dotfiles,2016-W44,3,0,1
davidgasquez/dotfiles,2016-W43,4,0,1
davidgasquez/dotfiles,2016-W41,2,0,1
davidgasquez/dotfiles,2016-W39,1,0,1
davidgasquez/dotfiles,2016-W38,3,0,1
davidgasquez/dotfiles,2016-W37,1,0,1
davidgasquez/dotfiles,2016-W36,14,0,1
davidgasquez/dotfiles,2016-W35,1,0,1
davidgasquez/dotfiles,2016-W33,3,0,1
davidgasquez/dotfiles,2016-W32,1,0,1
davidgasquez/dotfiles,2016-W30,22,0,1
davidgasquez/dotfiles,2016-W28,8,0,1
davidgasquez/dotfiles,2016-W27,2,0,1
davidgasquez/dotfiles,2016-W26,3,0,1
davidgasquez/dotfiles,2016-W25,3,0,1
davidgasquez/dotfiles,2016-W24,2,0,1
davidgasquez/dotfiles,2016-W21,1,0,1
davidgasquez/dotfiles,2016-W20,10,0,1
davidgasquez/dotfiles,2016-W19,3,0,1
davidgasquez/dotfiles,2016-W15,1,0,1
davidgasquez/dotfiles,2016-W12,3,0,1
davidgasquez/dotfiles,2016-W11,2,0,1
davidgasquez/dotfiles,2016-W10,1,0,1
davidgasquez/dotfiles,2016-W09,3,0,1
davidgasquez/dotfiles,2016-W08,1,0,1
davidgasquez/dotfiles,2016-W07,8,0,1
davidgasquez/dotfiles,2016-W06,2,0,1
davidgasquez/dotfiles,2016-W05,3,0,1
davidgasquez/dotfiles,2016-W04,1,0,1
davidgasquez/dotfiles,2016-W02,14,0,1
davidgasquez/dotfiles,2016-W01,8,0,1
davidgasquez/dotfiles,2016-W00,2,0,1
davidgasquez/dotfiles,2015-W51,8,0,1
davidgasquez/dotfiles,2015-W50,4,0,1
davidgasquez/dotfiles,2015-W49,9,0,1
davidgasquez/dotfiles,2015-W48,6,0,1
davidgasquez/dotfiles,2015-W46,6,0,1
davidgasquez/dotfiles,2015-W44,1,0,1
davidgasquez/dotfiles,2015-W40,1,0,1
davidgasquez/dotfiles,2015-W39,1,0,1
davidgasquez/dotfiles,2015-W37,1,0,1
davidgasquez/dotfiles,2015-W36,2,0,1
davidgasquez/dotfiles,2015-W35,1,0,1
davidgasquez/dotfiles,2015-W34,5,0,1
davidgasquez/dotfiles,2015-W32,1,0,1
davidgasquez/dotfiles,2015-W30,6,0,1
davidgasquez/dotfiles,2015-W25,1,0,1
