repo_name,cursor_commits,cursor_adoptor_percentage,cursor_adoption_time
vcs-python/vcspull,5,93.24894514767934,2025-03-08T09:16:26
KRISACHAN/ying-web,8,92.85714285714286,2024-12-04T21:52:24
mslavov/shelly-forge,3,92.85714285714286,2025-03-30T08:14:08
xingBaGan/atujii,3,92.8082191780822,2025-01-13T09:43:33
DataZooDE/flapi,2,92.77777777777779,2024-09-29T10:01:32
Cassianvale/LingYaoKeys,14,92.56594724220624,2024-12-13T03:38:12
sushaantu/boxento,2,92.55663430420712,2025-03-06T11:03:22
FunnyWolf/Viper,3,92.55583126550869,2025-03-14T09:13:59
radzionc/guitar,1,92.46575342465754,2025-03-18T00:53:23
cognesy/instructor-php,1,92.3963133640553,2024-06-25T14:54:34
ccbikai/DNS.Surf,1,92.3076923076923,2024-09-24T09:15:11
kazuph/mcp-screenshot,1,92.3076923076923,2024-12-24T02:09:34
badass-courses/course-builder,12,92.18809252938945,2025-01-21T00:56:57
tony/django-docutils,1,92.15155615696887,2025-03-08T16:15:10
kivS/lite-queen,1,91.8918918918919,2024-10-10T21:21:33
airas-network/airas-agent,1,91.83673469387756,2025-01-20T12:24:55
kleneway/forq-cli,1,91.83673469387756,2025-03-03T20:03:34
ham2k/app-polo,4,91.8296089385475,2025-03-03T08:55:27
tinybirdco/logs-explorer-template,2,91.81818181818183,2025-02-04T09:13:33
Arie/serveme,4,91.77377892030847,2025-03-15T07:24:54
zenbase-ai/py-priompt,1,91.66666666666666,2024-11-27T02:39:05
VRSEN/agency-swarm-memory-demo,1,91.66666666666666,2025-02-19T20:39:26
Ly-GGboy/AI-Library,5,91.66666666666666,2025-01-05T06:55:02
AttackIQ/DetectIQ,1,91.66666666666666,2024-11-25T13:06:28
kleosr/cursorkleosr,14,91.66666666666666,2025-03-20T03:55:21
motiondivision/motion-vue,4,91.65186500888099,2024-11-14T21:03:42
Bistutu/FluentRead,3,91.63265306122449,2025-01-18T22:45:11
tmux-python/tmuxp,2,91.30434782608695,2025-03-08T16:15:48
dotnetfactory/fluid-calendar,15,91.30434782608695,2025-02-17T07:41:07
namuan/trading-utils,1,91.29901960784314,2024-11-14T06:33:16
